"s0","n0","nparts","nunique","max_draws","log_nparts","log_nunique"
2,2,"1",1,5000,0,0
2,4,"2",2,5000,0.693147180559945,0.693147180559945
3,4,"1",1,5000,0,0
2,5,"2",2,5000,0.693147180559945,0.693147180559945
3,5,"2",2,5000,0.693147180559945,0.693147180559945
5,5,"1",1,5000,0,0
2,9,"4",4,5000,1.38629436111989,1.38629436111989
3,9,"7",7,5000,1.94591014905531,1.94591014905531
5,9,"5",5,5000,1.6094379124341,1.6094379124341
8,9,"1",1,5000,0,0
2,14,"7",7,5000,1.94591014905531,1.94591014905531
3,14,"16",16,5000,2.77258872223978,2.77258872223978
5,14,"23",23,5000,3.13549421592915,3.13549421592915
8,14,"11",11,5000,2.39789527279837,2.39789527279837
13,14,"1",1,5000,0,0
2,23,"11",11,5000,2.39789527279837,2.39789527279837
3,23,"44",44,5000,3.78418963391826,3.78418963391826
5,23,"141",141,5000,4.94875989037817,4.94875989037817
8,23,"146",146,5000,4.98360662170834,4.98360662170834
13,23,"42",42,5000,3.73766961828337,3.73766961828337
21,23,"2",2,5000,0.693147180559945,0.693147180559945
2,37,"18",18,5000,2.89037175789616,2.89037175789616
3,37,"114",114,5000,4.7361984483945,4.7361984483945
5,37,"831",830,5000,6.72262979485545,6.72142570079064
8,37,"2104",1915,5000,7.6515955738576,7.55747290161475
13,37,"1436",1393,5000,7.26961674960817,7.23921497377981
21,37,"231",231,5000,5.44241771052179,5.44241771052179
34,37,"3",3,5000,1.09861228866811,1.09861228866811
2,61,"30",30,5000,3.40119738166216,3.40119738166216
3,61,"310",310,5000,5.73657229747919,5.73657229747919
5,61,"5608",3295,5000,8.63194942871443,8.10016144693661
8,61,"41635",4720,5000,10.6366964386699,8.4595640785796
13,61,"85711",4838,5000,11.3587364510749,8.48425669116997
21,61,"35741",4661,5000,10.4840537681765,8.44698529637274
34,61,"3010",2469,5000,8.00969535774292,7.81156848934518
55,61,"11",11,5000,2.39789527279837,2.39789527279837
2,100,"50",50,5000,3.91202300542815,3.91202300542815
3,100,"833",830,5000,6.72503364216684,6.72142570079064
5,100,"38225",4711,5000,10.5512450307973,8.45765547870004
8,100,"930912",4986,5000,13.7439200297724,8.5143892640835
13,100,"7520910",4996,5000,15.8331976992431,8.51639287124547
21,100,"9909482",4997,5000,16.1090026345061,8.51659301134421
34,100,"2288049",4998,5000,14.6432100473364,8.5167931113949
55,100,"89134",4836,5000,11.3978961343855,8.48384321173468
91,100,"30",30,5000,3.40119738166216,3.40119738166216
2,165,"82",82,5000,4.40671924726425,4.40671924726425
3,165,"2269",2017,5000,7.72709448477984,7.60936653795421
5,165,"273052",4958,5000,12.5174175322193,8.50875771259514
8,165,"24447572",4999,5000,17.0120414642506,8.51699317141357
13,165,"1050020234",5000,5000,20.7720752714064,8.51719319141624
21,165,"6692251510",5000,5000,22.6242162030467,8.51719319141624
34,165,"4988367127",5000,5000,22.3303744641006,8.51719319141624
55,165,"604630157",5000,5000,20.2201275183247,8.51719319141624
91,165,"7089500",4999,5000,15.7741253741598,8.51699317141357
149,165,"231",231,5000,5.44241771052179,5.44241771052179
2,271,"135",135,5000,4.90527477843843,4.90527477843843
3,271,"6120",3452,5000,8.71931737550637,8.14670905220332
5,271,"1942129",4990,5000,14.4792953519918,8.51519118874556
8,271,"677683798",5000,5000,20.3341913624869,8.51719319141624
13,271,"194940071008",5000,5000,25.9959580201111,8.51719319141624
21,271,"9703702688824",5000,5000,29.9035286490985,8.51719319141624
34,271,"38094425424798",5000,5000,31.2710890730465,8.51719319141624
55,271,"14148042198618",5000,5000,30.2805973699234,8.51719319141624
91,271,"684598348485",5000,5000,27.2520981506601,8.51719319141624
149,271,"2291320912",5000,5000,21.5523943056846,8.51719319141624
245,271,"2436",2141,5000,7.79811262882979,7.66902828858968
2,446,"223",223,5000,5.40717177146012,5.40717177146012
3,446,"16576",4338,5000,9.71571114505921,8.37516869138682
5,446,"14047457",5000,5000,16.4579519409209,8.51719319141624
8,446,"20139883561",5000,5000,23.7259679427405,8.51719319141624
13,446,"47358519537640",5000,5000,31.488767846253,8.51719319141624
21,446,"30360622314527619",5000,5000,37.9519228450715,8.51719319141624
34,446,"1313586270178302713",5000,5000,41.7192926814975,8.51719319141624
55,446,"2471247408654908933",5000,5000,42.3512547207981,8.51719319141624
91,446,"379278722837144138",5000,5000,40.4770477461638,8.51719319141624
149,446,"7479252856065675",5000,5000,36.5509092963555,8.51719319141624
245,446,"4328363658647",5000,5000,29.096210678584,8.51719319141624
404,446,"53174",4770,5000,10.8813248340618,8.47010158388239
2,736,"368",368,5000,5.90808293816893,5.90808293816893
3,736,"45141",4742,5000,10.717546203427,8.46421426662535
5,736,"103273183",5000,5000,18.4528882972894,8.51719319141624
8,736,"632327545412",5000,5000,27.1726733648957,8.51719319141624
13,736,"14118651290573553",5000,5000,37.1862731047489,8.51719319141624
21,736,"181594341886309537596",5000,5000,46.6483069825609,8.51719319141624
34,736,"205995487096623907031213",5000,5000,53.6821412141266,8.51719319141624
55,736,"4976380537155016481546351",5000,5000,56.8667450588786,8.51719319141624
91,736,"3575458535179531556384497",5000,5000,56.5361356613669,8.51719319141624
149,736,"235008482359530053727271",5000,5000,53.8139085615146,8.51719319141624
245,736,"1394311463838431341147",5000,5000,48.686687671991,8.51719319141624
404,736,"84300815636225119",5000,5000,38.9731679352717,8.51719319141624
666,736,"4087968",4998,5000,15.2235585830464,8.5167931113949
2,1212,"606",605,5000,6.40687998606931,6.40522845803084
3,1212,"122412",4909,5000,11.7151476834705,8.49882553405805
5,1212,"755421743",5000,5000,20.4427867512544,8.51719319141624
8,1212,"20019053932136",5000,5000,30.627705632562,8.51719319141624
13,1212,"4613790845293954190",5000,5000,42.9755815021648,8.51719319141624
21,1212,"1638125063307122791012882",5000,5000,55.7555945655987,8.51719319141624
34,1212,"110742292536980433020156198057",5000,5000,66.8770033239972,8.51719319141624
55,1212,"118314922631719451305442834332379",5000,5000,73.8509026951304,8.51719319141624
91,1212,"1074897811614428279633114286158993",5000,5000,76.0575336669014,8.51719319141624
149,1212,"263235366805535426578078539518072",5000,5000,74.6506013526068,8.51719319141624
245,1212,"6447884974066474231185821642809",5000,5000,70.941304955857,8.51719319141624
404,1212,"8151756376441064001418855574",5000,5000,64.2680309211856,8.51719319141624
666,1212,"27833079238879849385687",5000,5000,51.68051216688,8.51719319141624
2,1999,"999",994,5000,6.90675477864855,6.90173720665657
3,1999,"333000",4970,5000,12.7158977689626,8.51117511909067
5,1999,"5572202761",5000,5000,22.4410562814697,8.51719319141624
8,1999,"649935235085351",5000,5000,34.1078938355238,8.51719319141624
13,1999,"1654666772566720281571",5000,5000,48.85788659555,8.51719319141624
21,1999,"20786948591513568288897559755",5000,5000,65.204122829042,8.51719319141624
34,1999,"174253174739231250208322755503103492",5000,5000,81.1458173377286,8.51719319141624
55,1999,"34312029613880900759973145280911647065037",5000,5000,93.3363146370585,8.51719319141624
91,1999,"20582589975987852273765217515297948574574310",5000,5000,99.7330194774108,8.51719319141624
149,1999,"42901683320654407042168821327418386477106587",5000,5000,100.467484969158,8.51719319141624
245,1999,"3630422405932660274967690069719341415562791",5000,5000,97.9979229125275,8.51719319141624
404,1999,"27697450863887637254194818229451561080549",5000,5000,93.1221590091519,8.51719319141624
666,1999,"5035277740877128056329189377671662155",5000,5000,84.5095320344759,8.51719319141624
2,3295,"1647",1559,5000,7.40671073017764,7.35179986905778
3,3295,"904752",4988,5000,13.7154161519789,8.51479030679993
5,3295,"41053069200",5000,5000,24.4381314374068,8.51719319141624
8,3295,"21195076703065018",5000,5000,37.5925453186314,8.51719319141624
13,3295,"617479858768238717357424",5000,5000,54.7799334034658,8.51719319141624
21,3295,"320820230810092149698603774704777",5000,5000,74.8484337274478,8.51719319141624
