"sim","nparts","s0","n0","skew","simpson","nunique","max_draws"
1,"1",2,3,0,0.444444444444444,1,5
1,"2",2,5,0,0.48,2,5
3,"2",2,5,0,0.32,2,5
1,"2",3,5,0.38490017945975,0.56,2,5
4,"2",3,5,-0.384900179459751,0.64,2,5
1,"4",2,8,0,0.21875,4,5
2,"4",2,8,NA,0.5,4,5
3,"4",2,8,0,0.46875,4,5
5,"4",2,8,0,0.375,4,5
1,"5",3,8,0.384900179459751,0.40625,4,5
2,"5",3,8,0.384900179459751,0.625,4,5
4,"5",3,8,-0.38490017945975,0.65625,4,5
5,"5",3,8,0.287409506829644,0.53125,4,5
1,"3",5,8,1.0733126291999,0.6875,2,5
2,"3",5,8,0.603738353924943,0.75,2,5
1,"6",2,13,0,0.473372781065089,3,5
4,"6",2,13,0,0.42603550295858,3,5
5,"6",2,13,0,0.142011834319526,3,5
1,"14",3,13,0.130129494729198,0.591715976331361,4,5
2,"14",3,13,0.207826562129517,0.63905325443787,4,5
3,"14",3,13,0.384900179459751,0.272189349112426,4,5
5,"14",3,13,0.287409506829644,0.461538461538462,4,5
1,"18",5,13,0.487808224325621,0.674556213017751,4,5
2,"18",5,13,1.0733126291999,0.757396449704142,4,5
3,"18",5,13,0.93310031179113,0.710059171597633,4,5
5,"18",5,13,-0.292118697336089,0.792899408284024,4,5
1,"7",8,13,0.540597944572312,0.85207100591716,3,5
4,"7",8,13,1.08406267380564,0.816568047337278,3,5
5,"7",8,13,1.65873098512724,0.792899408284024,3,5
1,"10",2,21,0,0.36281179138322,5,5
2,"10",2,21,0,0.444444444444444,5,5
3,"10",2,21,0,0.489795918367347,5,5
4,"10",2,21,0,0.172335600907029,5,5
5,"10",2,21,0,0.408163265306122,5,5
1,"37",3,21,0.384900179459751,0.17687074829932,5,5
2,"37",3,21,0.148952091952777,0.471655328798186,5,5
3,"37",3,21,0.384900179459751,0.326530612244898,5,5
4,"37",3,21,0,0.662131519274376,5,5
5,"37",3,21,-0.173811582606556,0.526077097505669,5,5
1,"101",5,21,0.603738353924943,0.770975056689342,5,5
2,"101",5,21,0.760437278125706,0.72562358276644,5,5
3,"101",5,21,0.944510632670825,0.512471655328798,5,5
4,"101",5,21,0.229142328174413,0.73015873015873,5,5
5,"101",5,21,0.620752231839188,0.789115646258503,5,5
1,"89",8,21,0.270488059395513,0.848072562358277,5,5
2,"89",8,21,1.21810885848787,0.839002267573696,5,5
3,"89",8,21,0.699009565609755,0.798185941043084,5,5
4,"89",8,21,0.893040154249053,0.780045351473923,5,5
5,"89",8,21,1.85615530061469,0.53968253968254,5,5
1,"22",13,21,1.13792345856988,0.893424036281179,4,5
2,"22",13,21,2.40443755983368,0.843537414965986,4,5
4,"22",13,21,1.7872803815139,0.884353741496599,4,5
5,"22",13,21,1.24353531495071,0.884353741496599,4,5
1,"17",2,34,0,0.250865051903114,5,5
2,"17",2,34,0,0.326989619377163,5,5
3,"17",2,34,0,0.389273356401384,5,5
4,"17",2,34,NA,0.5,5,5
5,"17",2,34,0,0.493079584775087,5,5
1,"96",3,34,0.143770798871449,0.524221453287197,5,5
2,"96",3,34,0.329930015778195,0.451557093425605,5,5
3,"96",3,34,0.352528528785214,0.299307958477509,5,5
4,"96",3,34,0.38490017945975,0.458477508650519,5,5
5,"96",3,34,0.36847583306932,0.257785467128028,5,5
1,"603",5,34,0.541745677854985,0.683391003460208,5,5
2,"603",5,34,-0.201596461807434,0.762975778546713,5,5
3,"603",5,34,0.292118697336089,0.795847750865052,5,5
4,"603",5,34,0.620752231839189,0.73356401384083,5,5
5,"603",5,34,0.0941005381317238,0.71280276816609,5,5
1,"1297",8,34,1.35811747204766,0.823529411764706,5,5
2,"1297",8,34,0.736951495562935,0.818339100346021,5,5
3,"1297",8,34,0.586751027609648,0.820069204152249,5,5
4,"1297",8,34,1.73326173792442,0.73356401384083,5,5
5,"1297",8,34,0.123130903409216,0.844290657439446,5,5
1,"747",13,34,-1.23059139193252,0.918685121107266,5,5
2,"747",13,34,-0.420676352480908,0.920415224913495,5,5
3,"747",13,34,0.745454376904696,0.875432525951557,5,5
4,"747",13,34,2.10465344377384,0.823529411764706,5,5
5,"747",13,34,1.56752924002842,0.86159169550173,5,5
1,"101",21,34,3.94870468046081,0.813148788927336,5,5
2,"101",21,34,2.07736932830762,0.908304498269896,5,5
3,"101",21,34,2.32517333585576,0.913494809688581,5,5
4,"101",21,34,3.9056517164223,0.833910034602076,5,5
5,"101",21,34,2.18977917126671,0.92560553633218,5,5
1,"27",2,55,0,0.498512396694215,5,5
2,"27",2,55,0,0.440330578512397,5,5
3,"27",2,55,0,0.491900826446281,5,5
4,"27",2,55,0,0.273719008264463,5,5
5,"27",2,55,0,0.48,5,5
1,"252",3,55,-0.0553204924538206,0.571239669421488,5,5
2,"252",3,55,0.376642539001858,0.528264462809917,5,5
3,"252",3,55,0.384900179459755,0.666446280991736,5,5
4,"252",3,55,0.207826562129518,0.665123966942149,5,5
5,"252",3,55,-0.351671823411864,0.589752066115703,5,5
1,"3765",5,55,0.633392539750107,0.775537190082645,5,5
2,"3765",5,55,0.0557001731121116,0.755702479338843,5,5
3,"3765",5,55,0.770268166375487,0.694876033057851,5,5
4,"3765",5,55,0.783762392857626,0.761652892561983,5,5
5,"3765",5,55,0.806192808399641,0.665785123966942,5,5
1,"22122",8,55,1.09985047231886,0.79801652892562,5,5
2,"22122",8,55,0.730914612457924,0.811900826446281,5,5
3,"22122",8,55,0.996822398332458,0.778842975206612,5,5
4,"22122",8,55,0.481230798847174,0.821157024793388,5,5
5,"22122",8,55,1.03083905565633,0.749090909090909,5,5
1,"35452",13,55,0.474978805108359,0.884628099173554,5,5
2,"35452",13,55,1.34458091754408,0.88198347107438,5,5
3,"35452",13,55,2.35291464351691,0.835702479338843,5,5
4,"35452",13,55,1.87502994145216,0.834380165289256,5,5
5,"35452",13,55,2.09366701410691,0.830413223140496,5,5
