"community_name","s0","n0","nparts","ncomparisons","mean_r2","mean_r2_log","mean_cd","mean_prop_off","mean_div","lognparts"
"10_100",10,100,2977866,4998,0.517757197434227,0.486689271773638,0.816962406316635,0.172605042016807,0.10599304044688,14.9067174945717
"10_11499",10,11499,2.70616803309009e+24,5000,0.654253138041105,0.411910005751968,0.85253767157483,0.151937020610488,0.0879957668050286,56.2575758561634
"10_1212",10,1212,4871905538019806,5000,0.654057768070492,0.511510912290905,0.851266274100205,0.153910066006601,0.0884027348773902,36.1222615363823
"10_128",10,128,21004018,4998,0.550587917342892,0.503545957420047,0.825678928296134,0.16640718787515,0.0991341248126688,16.8602243107191
"10_14",10,14,5,10,-0.124594155844156,0.333847110973034,0.559629028379029,0.114285714285714,0.0734543557879456,1.6094379124341
"10_14765",10,14765,2.55977991921651e+25,4999,0.669525096023741,0.440420331897644,0.85651648992565,0.15001739257435,0.0852825320793252,58.504548610591
"10_1557",10,1557,45139377082952496,5000,0.65574173858001,0.472094627492147,0.850909008714366,0.152128452151574,0.0865336990200415,38.3485313665361
"10_165",10,165,164694398,5000,0.600653979480964,0.522062210627834,0.829952072622622,0.164421818181818,0.0968142665812696,18.9196021812118
"10_18",10,18,22,231,-0.295057022051166,0.316036402327955,0.634354695865695,0.150553150553151,0.100330596802729,3.09104245335832
"10_18959",10,18959,2.42335798711673e+26,4999,0.65647284624532,0.418811422524345,0.853395914776028,0.15144536370748,0.0876428155118155,60.7523665941715
"10_1999",10,1999,418537721802553920,5000,0.654083433677127,0.484127126161438,0.849862591651126,0.152204402201101,0.0873892872178744,40.5755434165072
"10_211",10,211,1261252465,4999,0.59286916055587,0.50339871931637,0.834081349730426,0.163770194797253,0.0980412766175231,20.9553710840405
"10_23",10,23,97,3071,0.0572887443334616,0.259538370331569,0.716760814997684,0.166706780116943,0.108841369484123,4.57471097850338
"10_24344",10,24344,2.29514071741044e+27,4998,0.661699550925147,0.430026357082855,0.85437722662508,0.149954444479073,0.0859816435224249,63.0005916672479
"10_2566",10,2566,3892915448226241024,4999,0.667370019867275,0.46673692302321,0.852212274740058,0.151376806928026,0.0862933950327067,42.8056900233606
"10_271",10,271,10369163991,5000,0.62249889029739,0.481694364743182,0.84182151940457,0.15989741697417,0.0943848365990879,23.0621022379053
"10_29",10,29,423,4863,-0.115360385869289,0.226338745546872,0.742932621454485,0.174987768299687,0.113372458174024,6.04737217904628
